,spam,sms,sms_transform
501,0,When can Ì_ come out?,come
502,0,Check with nuerologist.,check nuerologist
503,0,Lolnice. I went from a fish to ..water.?,lolnic went fish water
504,1,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,congratul week competit draw u prize claim call 09050002311 b4280703 sm 18 150ppm
505,0,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,wait e car dat bore wat co wait outsid got noth 2 home stuff watch tv wat
506,0,"Maybe westshore or hyde park village, the place near my house?",mayb westshor hyde park villag place near hous
507,0,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,know anthoni bring money school fee pay rent stuff like that need help friend need
508,0,What's the significance?,signific
509,0,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl repli
510,0,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",8 latest g still scroung ammo want give new ak tri
511,0,Prabha..i'm soryda..realy..frm heart i'm sory,prabha soryda reali frm heart sori
512,0,Lol ok your forgiven :),lol ok forgiven
513,0,No..jst change tat only..,jst chang tat
514,1,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",guarante latest nokia phone 40gb ipod mp3 player prize txt word collect 83355 ibhltd ldnw15h
515,0,S:)no competition for him.,competit
516,1,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,boltblu tone 150p repli poli mono eg poly3 cha cha slide yeah slow jamz toxic come stop 4 tone txt
517,1,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,credit top http renew pin tgxxrz
518,0,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",way transport less problemat sat night way u want ask n join bday feel free need know definit no book fri
519,0,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,usual person unconsci children adult may behav abnorm call
520,0,But that's on ebay it might be less elsewhere.,ebay might less elsewher
521,0,Shall i come to get pickle,shall come get pickl
522,0,Were gonna go get some tacos,gon na go get taco
523,0,"That's very rude, you on campus?",rude campu
524,1,"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",urgent mobil award bonu caller prize 2nd attempt contact call box95qu
525,0,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,hi wo b ard 4 christma enjoy n merri
526,1,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",today offer claim ur worth discount voucher text ye 85023 savamob member offer mobil cs sub 16 unsub repli x
527,0,Yes! How is a pretty lady like you single?,ye pretti ladi like singl
528,1,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,reciev tone within next 24hr term condit pleas see channel u teletext pg 750
529,0,Jay says that you're a double-faggot,jay say
530,1,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,privat 2003 account statement 07815296484 show 800 point call 08718738001 identifi code 41782 expir
531,0,What Today-sunday..sunday is holiday..so no work..,sunday holiday work
533,0,I'll be late...,late
534,0,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",call hope l8r malaria know miss guy miss bani big pl give love especi great day
535,0,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",good afternoon love goe day hope mayb got lead job think boytoy send passion kiss across sea
536,0,"Probably gonna be here for a while, see you later tonight &lt;)",probabl gon na see later tonight lt
537,0,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,mayb fat finger press button know
538,0,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear
539,0,"I am in tirupur da, once you started from office call me.",tirupur da start offic call
540,1,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,monthlysubscript csc web age16 2stop txt stop
541,0,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",famou quot develop abil listen uncondit without lose temper self confid mean
542,0,But am going to college pa. What to do. are else ill come there it self. Pa.,go colleg els ill come self pa
543,0,4 oclock at mine. Just to bash out a flat plan.,4 oclock mine bash flat plan
544,0,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,girl stay bed girl need recoveri time id rather pass fun coop bed
545,0,Then any special there?,special
546,0,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,know need get hotel got invit apologis cali sweet come english bloke weddin
547,0,"Sorry that took so long, omw now",sorri took long omw
548,0,Wait  &lt;#&gt;  min..,wait lt gt min
549,0,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,ok give 5 minut think see btw alibi cut hair whole time
550,0,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",imagin final get sink bath put pace mayb even eat left also imagin feel cage cock surround bath water remind alway own enjoy cuck
551,0,"Hurry up, I've been weed-deficient for like three days",hurri like three day
552,0,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",sure get acknowledg astoundingli tactless gener faggi demand blood oath fo
553,0,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,everi night take warm bath drink cup milk see work magic still need loos weight know
554,0,IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book,look fri pan case cheap book perhap silli fri pan like book
555,0,O. Well uv causes mutations. Sunscreen is like essential thesedays,well uv caus mutat sunscreen like essenti theseday
556,0,Having lunch:)you are not in online?why?,lunch onlin
557,0,I know that my friend already told that.,know friend alreadi told
558,0,Hi Princess! Thank you for the pics. You are very pretty. How are you?,hi princess thank pic pretti
559,0,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",aiyo u alway c ex one dunno abt mei repli first time u repli fast lucki workin huh got bao ur sugardad ah gee
560,0,Hi msg me:)i'm in office..,hi msg offic
561,0,Thanx 4 e brownie it's v nice...,thanx 4 e browni v nice
562,0,Geeeee ... I love you so much I can barely stand it,geeeee love much bare stand
563,1,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,gent tri contact last weekend draw show prize guarante call claim code k52 valid 12hr 150ppm
564,0,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",fuck babe miss alreadi know ca let send money toward net need want crave
565,0,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",ill call u 2mrw ninish address icki american freek wont stop callin 2 bad jen k eh
566,0,Oooh bed ridden ey? What are YOU thinking of?,oooh bed ridden ey think
567,0,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",anyway go gym whatev love smile hope ok good day babe miss much alreadi
568,0,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,love daddi make scream pleasur go slap ass dick
569,0,WOT U WANNA DO THEN MISSY?,wot u wan na missi
570,0,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,yar lor wait 4 mum 2 finish sch lunch lor whole morn stay home clean room room quit clean hee
571,0,Do you know where my lab goggles went,know lab goggl went
572,0,Can you open the door?,open door
573,0,Waiting for your call.,wait call
574,0,Nope i waiting in sch 4 daddy... ,nope wait sch 4 daddi
575,1,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",cash prize claim call09050000327
576,0,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",tire argu week week want
577,0,ÌÏ wait 4 me in sch i finish ard 5..,ìï wait 4 sch finish ard 5
578,1,"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",mobil number claim call us back ring claim hot line 09050005321
579,0,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",arngd marriag u r walkin unfortuntli snake bite bt love marriag danc frnt snake amp sayin bite bite
580,0,Huh so early.. Then Ì_ having dinner outside izzit?,huh earli dinner outsid izzit
581,0,Ok anyway no need to change with what you said,ok anyway need chang said
582,1,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,tri contact repli offer 750 min 150 textand new video phone call 08002988890 repli free deliveri tomorrow
583,0,my ex-wife was not able to have kids. Do you want kids one day?,abl kid want kid one day
584,0,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,scotland hope show jjc tendenc take care live dream
585,0,Tell them u have a headache and just want to use 1 hour of sick time.,tell u headach want use 1 hour sick time
586,0,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den
587,0,"\Pete can you please ring meive hardly gotany credit\""""",pleas ring meiv hardli gotani
588,0,Ya srsly better than yi tho,ya srsli better yi tho
589,0,"I'm in a meeting, call me later at",meet call later
590,1,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",ur chanc win wkli shop spree txt shop c custcar 08715705022
591,1,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,special select receiv 2000 pound award call 08712402050 line close cost 10ppm cs appli ag promo
592,1,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,privat 2003 account statement 07753741225 show 800 point call 08715203677 identifi code 42478 expir
593,0,You still at grand prix?,still grand prix
594,0,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",met stranger choos friend long world stand friendship never end let friend forev gud nitz
595,0,I am great! How are you?,great
596,0,Gud mrng dear have a nice day,gud mrng dear nice day
597,1,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,import custom servic announc call freephon 0800 542 0825
598,0,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,exhaust train morn much wine pie sleep well
599,0,I'm going out to buy mum's present ar.,go buy mum present ar
600,0,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,mind blastin tsunami occur rajnik stop swim indian ocean
601,0,If u sending her home first it's ok lor. I'm not ready yet.,u send home first ok lor readi yet
602,0,Speaking of does he have any cash yet?,speak cash yet
603,0,Be happy there. I will come after noon,happi come noon
604,0,Meet after lunch la...,meet lunch la
605,0,TaKe CaRE n gET WeLL sOOn,take care n get well soon
606,1,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,xclusiv clubsaisai 2morow soire special zouk nichol rose 2 ladi info
607,0,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,meant say cant wait see u get bore bridgwat banter
608,0,Neva mind it's ok..,neva mind ok
609,0,"It's fine, imma get a drink or somethin. Want me to come find you?",fine imma get drink somethin want come find
610,1,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,22 day kick euro2004 u kept date latest news result daili remov send get txt stop 83222
611,0,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,valentin game send di msg ur friend 5 answer r someon realli love colour suit best rpli
612,0,I have many dependents,mani depend
613,0,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,thanx4 today cer nice 2 catch ave 2 find time often oh well take care c u
614,0,I called and said all to him:)then he have to choose this future.,call said choos futur
615,0,"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...""",valentin know earli hundr handsom beauti wish thought finish aunti uncl 1st
616,0,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,like v shock leh co tell shuhui like tell leona also like dat almost know liao got ask abt ur reaction lor
617,0,For my family happiness..,famili happi
618,0,I come n pick Ì_ up... Come out immediately aft ur lesson...,come n pick come immedi aft ur lesson
619,0,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,let snow let snow kind weather bring ppl togeth friendship grow
620,0,Dear we got  &lt;#&gt;  dollars hi hi,dear got lt gt dollar hi hi
621,0,Good words.... But words may leave u in dismay many times.,good word word may leav u dismay mani time
622,0,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,make sure alex know birthday fifteen minut far concern
623,0,"sorry, no, have got few things to do. may be in pub later.",sorri got thing may pub later
624,0,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",nah straight bring bud drink someth actual littl use straight cash
625,0,"Haha good to hear, I'm officially paid and on the market for an 8th",haha good hear offici paid market 8th
626,0,How many licks does it take to get to the center of a tootsie pop?,mani lick take get center tootsi pop
627,0,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,yup thk r e teacher said make face look longer darren ask 2 cut short
628,1,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,new textbuddi chat 2 horni guy ur area 4 25p free 2 receiv search postcod txt one name 89693
629,1,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,today vodafon number end 4882 select receiv award number match call 09064019014 receiv award
630,0,Please dont say like that. Hi hi hi,pleas dont say like hi hi hi
631,0,Thank u!,thank u
632,0,Oh that was a forwarded message. I thought you send that to me,oh forward messag thought send
633,0,Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.,got seventeen pound seven hundr ml hope ok
634,1,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",dear voucher holder 2 claim week offer pc go http ts cs stop text txt stop 80062
635,0,Me n him so funny...,n funni
636,0,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",sweetheart hope kind day one load reason smile biola
637,0,When Ì_ login dat time... Dad fetching Ì_ home now?,login dat time dad fetch home
638,0,"What will we do in the shower, baby?",shower babi
639,0,I had askd u a question some hours before. Its answer,askd u question hour answer
640,0,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",well imma definit need restock thanksgiv let know
641,0," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ",said kiss kiss ca sound effect gorgeou man kind person need smile brighten day
642,0,Probably gonna swing by in a wee bit,probabl gon na swing wee bit
643,0,Ya very nice. . .be ready on thursday,ya readi thursday
644,0,Allo! We have braved the buses and taken on the trains and triumphed. I mean weÛ÷re in bÛ÷ham. Have a jolly good rest of week,allo brave buse taken train triumph mean jolli good rest week
645,0,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",watch cartoon listen music amp eve go templ amp church u
646,0,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,mind ask happen dont say uncomfort
647,1,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,privat 2003 account statement show 800 point call 08715203694 identifi code 40533 expir
648,0,No prob. I will send to your email.,prob send email
649,1,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",cash prize claim call09050000327 c rstm sw7 3ss 150ppm
650,0,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),that cool sometim slow gentl sonetim rough hard
651,0,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,gon na say sorri would normal start panic time sorri see tuesday
652,0,"Wait, do you know if wesleys in town? I bet she does hella drugs!",wait know wesley town bet hella drug
653,0,Fine i miss you very much.,fine miss much
655,0,Tell them the drug dealer's getting impatient,tell drug dealer get impati
656,0,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",sun cant come earth send luv ray cloud cant come river send luv rain cant come meet u send care msg gud evng
658,0,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",doesnt make sens take unless free need know
659,1,88800 and 89034 are premium phone services call 08718711108,88800 89034 premium phone servic call 08718711108
660,0,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",sea lay rock rock envelop envelop paper paper 3 word
661,0,Then mum's repent how?,mum repent
662,0,Sorry me going home first... Daddy come fetch Ì_ later...,sorri go home first daddi come fetch later
663,0,Leave it de:-). Start Prepare for next:-)..,leav de start prepar next
664,0,Yes baby! We can study all the positions of the kama sutra ;),ye babi studi posit kama sutra
665,0,En chikku nange bakra msg kalstiya..then had tea/coffee?,en chikku nang bakra msg kalstiya
666,0,Carlos'll be here in a minute if you still need to buy,carlo minut still need buy
667,0,This pay is  &lt;DECIMAL&gt;  lakhs:),pay lt decim gt lakh
668,0,Have a good evening! Ttyl,good even ttyl
669,0,Did u receive my msg?,u receiv msg
670,0,Ho ho - big belly laugh! See ya tomo,ho ho big belli laugh see ya tomo
671,1,SMS. ac sun0819 posts HELLO:\You seem cool,sm ac sun0819 post hello seem cool
672,1,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,get ur 1st rington free repli msg tone gr8 top 20 tone phone everi week per wk 2 opt send stop 08452810071 16
673,0,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",ditto wo worri say anyth anymor like said last night whatev want peac
674,0,"I've got  &lt;#&gt; , any way I could pick up?",got lt gt way could pick
675,0,"I dont knw pa, i just drink milk..",dont knw pa drink milk
676,0,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,mayb say hi find got card great escap wetherspoon
677,0,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",piggi r u awak bet u still sleep go 4 lunch
678,0,Cause I'm not freaky lol,caus freaki lol
679,0,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,miss call caus yell scrappi miss ca wait u come home lone today
680,0,What is this 'hex' place you talk of? Explain!,place talk explain
681,0,ÌÏ log off 4 wat. It's sdryb8i,ìï log 4 wat sdryb8i
682,0,Is xy going 4 e lunch?,xy go 4 e lunch
683,1,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,hi sue 20 year old work lapdanc love sex text live bedroom text sue textoper g2 1da 150ppmsg
684,0,I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,want ask wait 4 finish lect co lect finish hour anyway
685,0,Have you finished work yet? :),finish work yet
686,0,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",everi king cri babi everi great build map imprtant u r today u wil reach tomorw gud ni8
687,0,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",dear case u r come cochin pl call bfore u shall also reach tell day u r engag an holiday
688,0,Thanks love. But am i doing torch or bold.,thank love torch bold
689,1,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,forward 448712404000 pleas call 08712404000 immedi urgent messag wait
690,0,Was the farm open?,farm open
691,0,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",sorri troubl u buy 4d dad 1405 1680 2 big 1 small sat n sun thanx
692,0,"My sister in law, hope you are having a great month. Just saying hey. Abiola",sister law hope great month say hey abiola
693,0,Will purchase d stuff today and mail to you. Do you have a po box number?,purchas stuff today mail po box number
694,0,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,ah poop look like ill prob send laptop get fix cuz gpu problem
695,0,Good. Good job. I like entrepreneurs,good good job like entrepreneur
696,0,"Aight, you close by or still down around alex's place?",aight close still around alex place
697,0,meet you in corporation st outside gap Û_ you can see how my mind is working!,meet corpor st outsid gap see mind work
698,0,Mum ask Ì_ to buy food home...,mum ask buy food home
699,0,K..u also dont msg or reply to his msg..,k u also dont msg repli msg
700,0,How much r Ì_ willing to pay?,much r will pay
702,0,What is important is that you prevent dehydration by giving her enough fluids,import prevent dehydr give enough fluid
703,0,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",that bit weird even suppos happen good idea sure pub
704,0,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,true dear sat pray even felt sm time
705,0,"I don't think I can get away for a trek that long with family in town, sorry",think get away trek long famili town sorri
706,0,So when do you wanna gym harri,wan na gym harri
707,0,Quite late lar... Ard 12 anyway i wun b drivin...,quit late lar ard 12 anyway wun b drivin
708,1,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",review keep fantast nokia game deck club nokia go 2 unsubscrib alert repli word
709,1,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,4mth half price orang line rental latest camera phone 4 free phone call mobilesdirect free 08000938767 updat or2stoptxt cs
710,0,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,height confid aeronaut professor wer calld amp wer askd 2 sit aeroplan aftr sat wer told dat plane ws made student dey hurri plane bt 1 didnt move said made student
711,0,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,seem like weird time night g want come smoke day shitstorm attribut alway come make everyon smoke
712,1,08714712388 between 10am-7pm Cost 10p,08714712388 cost 10p
713,0,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",save stress person dorm account send account detail money sent
714,0,He also knows about lunch menu only da. . I know,also know lunch menu know
715,0,When i have stuff to sell i.ll tell you,stuff sell tell
716,1,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,urgent 2nd attempt contact u u call 09071512433 b4 050703 csbcm4235wc1n3xx callcost 150ppm mobilesvari 50
717,0,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,book lesson msg call work sth go get spec membership px3748
718,1,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,guarante cash prize claim yr prize call custom servic repres 08714712394
719,0,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,macha dont feel assum one even wonder plan life begin anytim
720,0,Oh is it? Send me the address,oh send address
721,0,S'fine. Anytime. All the best with it.,anytim best
722,0,That is wondar full flim.,wondar full flim
723,0,Ya even those cookies have jelly on them,ya even cooki jelli
724,0,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",world run feel admit correct let call keep run world may u r also run
725,0,Got it! It looks scrumptious... daddy wants to eat you all night long!,got look scrumptiou daddi want eat night long
726,0,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,co lar ba dao ok 1 pm lor u never ask go ah said u would ask fri said u ask today
727,0,"Alright omw, gotta change my order to a half8th",alright omw got ta chang order half8th
728,0,Exactly. Anyways how far. Is jide her to study or just visiting,exactli anyway far jide studi visit
729,0,Dunno y u ask me.,dunno u ask
730,1,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,email alertfrom jeri stewarts 2kbsubject prescripiton drvgsto listen email call 123
731,0,No he didn't. Spring is coming early yay!,spring come earli yay
732,0,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,lol wo feel bad use money take steak dinner
733,0,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,even u dont get troubl convinc tel twice tel neglect msg dont c read dont repli
734,0,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,leav qatar tonit search went add ur prayer
735,0,Then why no one talking to me,one talk
736,0,Thanks for looking out for me. I really appreciate.,thank look realli appreci
737,1,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,hi custom loyalti offer new nokia6650 mobil txtauction txt word start 81151 get 4t ctxt tc
738,0,Wish i were with you now!,wish
739,0,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,haha mayb u rite u know well da feel like someon gd lor u faster go find one gal group attach liao
740,0,Yes i will be there. Glad you made it.,ye glad made
741,0,Do well :)all will for little time. Thing of good times ahead:,well littl time thing good time ahead
742,0,Just got up. have to be out of the room very soon. Û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,got room soon put clock back til 8 shout everyon get realis wahay anoth hour bed
743,0,Ok. There may be a free gym about.,may free gym
744,0,Men like shorter ladies. Gaze up into his eyes.,men like shorter ladi gaze eye
745,0,Dunno he jus say go lido. Same time 930.,dunno ju say go lido time 930
746,0,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",promis take good care princess run pleas send pic get chanc ttyl
747,1,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,u subscrib best mobil content servic uk per 10 day send stop helplin 08706091795
748,0,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,reason spoken year anyway great week best exam
749,0,By monday next week. Give me the full gist,monday next week give full gist
750,1,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",realiz 40 year thousand old ladi run around tattoo
751,1,You have an important customer service announcement from PREMIER.,import custom servic announc premier
752,0,Dont gimme that lip caveboy,dont gim lip caveboy
753,0,When did you get to the library,get librari
